"Genotype","Year","Experiment","Dpi","Phenotype"
455096,2015,1,4,2.571428571
455097,2015,1,4,3.25
455098,2015,1,4,1
455099,2015,1,4,2.333333333
455100,2015,1,4,3.5
455102,2015,1,4,2.25
455103,2015,1,4,NA
455104,2015,1,4,1
455105,2015,1,4,1
455106,2015,1,4,1
455107,2015,1,4,3.125
455108,2015,1,4,1
455109,2015,1,4,1.571428571
455110,2015,1,4,2.125
456001,2015,1,4,1
456002,2015,1,4,2
456003,2015,1,4,1.142857143
456004,2015,1,4,1.428571429
456005,2015,1,4,2.285714286
456007,2015,1,4,1
456008,2015,1,4,1
456009,2015,1,4,1.625
456010,2015,1,4,1.5
456011,2015,1,4,1
456012,2015,1,4,1
456013,2015,1,4,1
456014,2015,1,4,2.375
456015,2015,1,4,3.333333333
456016,2015,1,4,1.875
456017,2015,1,4,1.428571429
456018,2015,1,4,2.25
456019,2015,1,4,2.875
456020,2015,1,4,1.142857143
456022,2015,1,4,1.375
456023,2015,1,4,1.5
456024,2015,1,4,1
456025,2015,1,4,1
456026,2015,1,4,1.25
456027,2015,1,4,1.428571429
456028,2015,1,4,1.875
456029,2015,1,4,1.125
456030,2015,1,4,3
456031,2015,1,4,1.142857143
456032,2015,1,4,2
456033,2015,1,4,1
456034,2015,1,4,1.5
456035,2015,1,4,1
456037,2015,1,4,2.285714286
456038,2015,1,4,1
456039,2015,1,4,1.75
456040,2015,1,4,1.333333333
456041,2015,1,4,1.625
456042,2015,1,4,1.75
456044,2015,1,4,1.285714286
456045,2015,1,4,1
456046,2015,1,4,2.285714286
456047,2015,1,4,1
456048,2015,1,4,2.625
456049,2015,1,4,1
456050,2015,1,4,2.125
456052,2015,1,4,1.75
456053,2015,1,4,1
456054,2015,1,4,1.142857143
456056,2015,1,4,1.375
456057,2015,1,4,2.5
456058,2015,1,4,1
456059,2015,1,4,2.714285714
456060,2015,1,4,1.5
456062,2015,1,4,1
456063,2015,1,4,3
456064,2015,1,4,1.75
456065,2015,1,4,NA
456067,2015,1,4,1.833333333
456068,2015,1,4,2.625
456069,2015,1,4,1
456070,2015,1,4,1
456071,2015,1,4,2.714285714
456072,2015,1,4,1.666666667
456073,2015,1,4,1
456074,2015,1,4,1
456075,2015,1,4,2.5
456076,2015,1,4,1
456077,2015,1,4,1
456078,2015,1,4,3
456079,2015,1,4,2.8
456080,2015,1,4,1.142857143
456082,2015,1,4,2.375
456084,2015,1,4,1.5
456085,2015,1,4,1.428571429
456087,2015,1,4,1
456088,2015,1,4,1.142857143
456089,2015,1,4,3.285714286
456090,2015,1,4,1.333333333
456091,2015,1,4,1.142857143
456092,2015,1,4,NA
456093,2015,1,4,2
456094,2015,1,4,3
456095,2015,1,4,2.75
456101,2015,1,4,1.428571429
456102,2015,1,4,2.875
456103,2015,1,4,1.125
456105,2015,1,4,1
456106,2015,1,4,1
456107,2015,1,4,1.25
456109,2015,1,4,1
456110,2015,1,4,1.571428571
457002,2015,1,4,2
457003,2015,1,4,2.428571429
457004,2015,1,4,1.25
457005,2015,1,4,3
457006,2015,1,4,3.25
457007,2015,1,4,NA
457008,2015,1,4,1.25
457009,2015,1,4,1.75
457010,2015,1,4,2
457011,2015,1,4,1
457012,2015,1,4,2.5
457013,2015,1,4,2.625
457014,2015,1,4,2.142857143
457015,2015,1,4,1.25
457017,2015,1,4,1.375
457018,2015,1,4,1.125
457019,2015,1,4,1.625
457020,2015,1,4,2.571428571
457021,2015,1,4,1.142857143
457022,2015,1,4,1.375
457023,2015,1,4,2.375
457024,2015,1,4,1
457025,2015,1,4,2
457026,2015,1,4,1
457027,2015,1,4,2.125
457028,2015,1,4,1.5
457029,2015,1,4,2.333333333
457030,2015,1,4,1
457032,2015,1,4,1
457033,2015,1,4,1
