Genotype,Year,Experiment,Phenotype
455096,2015,1,0.116513449
455097,2015,1,0.126187897
455098,2015,1,0.197401652
455099,2015,1,0.101535244
455100,2015,1,0.054697856
455102,2015,1,0.144552505
455103,2015,1,NA
455104,2015,1,0.16657307
455105,2015,1,0.196139615
455106,2015,1,0.158246326
455107,2015,1,0.074786727
455108,2015,1,0.092106721
455109,2015,1,0.167793361
455110,2015,1,0.141868318
456001,2015,1,0.155424252
456002,2015,1,0.236214305
456003,2015,1,0.264171885
456004,2015,1,0.184114865
456005,2015,1,0.163091234
456007,2015,1,0.180264257
456008,2015,1,0.162707884
456009,2015,1,0.204029455
456010,2015,1,0.09056423
456011,2015,1,0.182865307
456012,2015,1,0.169520839
456013,2015,1,0.310468464
456014,2015,1,0.117875986
456015,2015,1,0.064294043
456016,2015,1,0.08883262
456017,2015,1,0.155199067
456018,2015,1,0.087352809
456019,2015,1,0.128097181
456020,2015,1,0.19533818
456022,2015,1,0.1402972
456023,2015,1,0.045801033
456024,2015,1,0.176601072
456025,2015,1,0.139770217
456026,2015,1,0.133963636
456027,2015,1,0.089981114
456028,2015,1,0.109450526
456029,2015,1,0.222684754
456030,2015,1,0.06632213
456031,2015,1,0.114021753
456032,2015,1,0.082313207
456033,2015,1,0.136680053
456034,2015,1,0.179479623
456035,2015,1,0.163909216
456037,2015,1,0.070380582
456038,2015,1,0.214817847
456039,2015,1,0.068718418
456040,2015,1,0.162729545
456041,2015,1,0.11470894
456042,2015,1,0.09017327
456044,2015,1,0.071398508
456045,2015,1,0.207525591
456046,2015,1,0.116967326
456047,2015,1,0.218287255
456048,2015,1,0.077027127
456049,2015,1,0.174363006
456050,2015,1,0.091488813
456052,2015,1,0.084950682
456053,2015,1,0.210136906
456054,2015,1,0.120441638
456056,2015,1,0.095565716
456057,2015,1,0.094361763
456058,2015,1,0.2347865
456059,2015,1,0.10087918
456060,2015,1,0.144518622
456062,2015,1,0.254380144
456063,2015,1,0.100833155
456064,2015,1,0.096249533
456065,2015,1,NA
456067,2015,1,0.073515162
456068,2015,1,0.084456161
456069,2015,1,0.074812916
456070,2015,1,0.151678175
456071,2015,1,0.07390472
456072,2015,1,0.081340186
456073,2015,1,0.162290623
456074,2015,1,0.166138174
456075,2015,1,0.075366057
456076,2015,1,0.143105567
456077,2015,1,0.207266891
456078,2015,1,0.096259666
456079,2015,1,0.112948756
456080,2015,1,0.088485434
456082,2015,1,0.062289242
456084,2015,1,0.064674762
456085,2015,1,0.100787927
456087,2015,1,0.059959814
456088,2015,1,0.104550765
456089,2015,1,0.098406649
456090,2015,1,0.063204315
456091,2015,1,0.141595882
456092,2015,1,0.191265931
456093,2015,1,0.0740385
456094,2015,1,0.077555336
456095,2015,1,0.111968354
456101,2015,1,0.233571008
456102,2015,1,0.047619489
456103,2015,1,0.130336026
456105,2015,1,0.109473883
456106,2015,1,0.15342493
456107,2015,1,0.100527768
456109,2015,1,0.277299776
456110,2015,1,0.211583674
457002,2015,1,0.122936278
457003,2015,1,0.131761674
457004,2015,1,0.102844949
457005,2015,1,0.09583582
457006,2015,1,0.073212957
457007,2015,1,NA
457008,2015,1,0.115267157
457009,2015,1,0.108490808
457010,2015,1,0.056182736
457011,2015,1,0.094273382
457012,2015,1,0.076649975
457013,2015,1,0.054768344
457014,2015,1,0.121968287
457015,2015,1,0.095003601
457017,2015,1,0.053396583
457018,2015,1,0.209678881
457019,2015,1,0.151970732
457020,2015,1,0.082901922
457021,2015,1,0.102185674
457022,2015,1,0.164037841
457023,2015,1,0.061352227
457024,2015,1,0.084454029
457025,2015,1,0.127330566
457026,2015,1,0.2612153
457027,2015,1,0.106042479
457028,2015,1,0.189091615
457029,2015,1,0.060901494
457030,2015,1,0.267363481
457032,2015,1,0.170399269
457033,2015,1,0.180461985
457034,2015,1,0.115182824
457035,2015,1,0.228716575
457036,2015,1,0.071492085
457037,2015,1,0.186118141
457038,2015,1,0.112931136
457039,2015,1,0.080570309
457040,2015,1,0.076723296
457041,2015,1,0.069012301
457042,2015,1,0.122300219
457043,2015,1,0.093001228
457044,2015,1,0.061022268
457045,2015,1,0.101323467
457051,2015,1,0.130643768
457052,2015,1,0.138458237
457053,2015,1,0.239876545
457055,2015,1,0.195089928
457056,2015,1,0.274109636
457057,2015,1,0.061311098
457058,2015,1,0.177618132
457059,2015,1,0.244841346
455096,2015,2,0.248982758
455097,2015,2,0.164620135
455098,2015,2,0.247214971
455099,2015,2,0.161947671
455100,2015,2,0.100353942
455102,2015,2,0.243259065
455103,2015,2,NA
455104,2015,2,0.215119241
455105,2015,2,0.087072814
455106,2015,2,0.191364511
455107,2015,2,0.042732331
455108,2015,2,0.185657834
455109,2015,2,0.215935784
455110,2015,2,0.195682084
456001,2015,2,0.116685857
456002,2015,2,0.238353553
456003,2015,2,0.143627002
456004,2015,2,0.130403766
456005,2015,2,0.08680485
456007,2015,2,0.176881779
456008,2015,2,0.193199112
456009,2015,2,0.144954246
456010,2015,2,0.118420872
456011,2015,2,0.247348513
456012,2015,2,0.207340063
456013,2015,2,0.259709551
456014,2015,2,0.142108728
456015,2015,2,0.057237152
456016,2015,2,0.109930093
456017,2015,2,0.126627205
456018,2015,2,0.155230009
456019,2015,2,0.095295516
456020,2015,2,0.124293536
456022,2015,2,0.166893741
456023,2015,2,0.03206141
456024,2015,2,0.14136621
456025,2015,2,0.131060566
456026,2015,2,0.159003747
456027,2015,2,0.124833547
456028,2015,2,0.123472133
456029,2015,2,0.251328041
456030,2015,2,0.064680948
456031,2015,2,0.154837769
456032,2015,2,0.057781636
456033,2015,2,0.125719228
456034,2015,2,0.09286128
456035,2015,2,0.142380599
456037,2015,2,0.047287038
