Genotype,Year,Experiment,Phenotype
452001,2015,1,NA
452002,2015,1,2
452003,2015,1,1.285714286
452004,2015,1,NA
452005,2015,1,1.833333333
452006,2015,1,3.166666667
452007,2015,1,2.333333333
452008,2015,1,1.875
452009,2015,1,3
452010,2015,1,3.333333333
452012,2015,1,2.125
452013,2015,1,1.571428571
452014,2015,1,NA
452015,2015,1,1.375
452016,2015,1,2.625
452017,2015,1,1.875
452018,2015,1,2.125
452019,2015,1,NA
452020,2015,1,NA
452021,2015,1,1.875
452022,2015,1,2
452023,2015,1,NA
452024,2015,1,NA
452027,2015,1,2.571428571
452028,2015,1,2.285714286
452029,2015,1,NA
452030,2015,1,1.5
452031,2015,1,2
452032,2015,1,2.857142857
452033,2015,1,2
452034,2015,1,2
452035,2015,1,2.875
452036,2015,1,2.428571429
452037,2015,1,2.166666667
452038,2015,1,2
452039,2015,1,NA
452040,2015,1,1.857142857
452042,2015,1,2.714285714
452043,2015,1,2.166666667
452044,2015,1,2.833333333
452045,2015,1,NA
452046,2015,1,1.428571429
452047,2015,1,2.8
452048,2015,1,2.666666667
452049,2015,1,NA
452050,2015,1,1.833333333
452051,2015,1,1.75
452058,2015,1,NA
452059,2015,1,1.857142857
452060,2015,1,NA
452061,2015,1,3.75
452062,2015,1,2
452063,2015,1,1.714285714
452065,2015,1,2.5
452067,2015,1,2.625
452068,2015,1,2.25
452069,2015,1,2.285714286
452070,2015,1,NA
452072,2015,1,NA
452073,2015,1,NA
452074,2015,1,NA
452075,2015,1,1.875
452076,2015,1,1.8
452077,2015,1,2.625
452079,2015,1,NA
452080,2015,1,1.428571429
452081,2015,1,3
452082,2015,1,2.714285714
452083,2015,1,3.571428571
452084,2015,1,3.8
452085,2015,1,1.857142857
452087,2015,1,NA
452088,2015,1,NA
452089,2015,1,NA
452091,2015,1,1.875
452092,2015,1,2.25
452093,2015,1,2
452094,2015,1,2.375
452095,2015,1,3
452096,2015,1,3
452097,2015,1,NA
